District,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
PERAMBALUR,360224,359463,468001,531755,547651,592654,723662,728979,754581
ARIYALUR,533756,577465,655230,742549,759489,861294,927225,976861,1046626
N|LGIRIS,612030,729981,847878,857370,916887,1064481,1003075,1172004,1228935
THIRUVARUR,784636,747675,1037504,1143191,1180375,1114999,1515903,1644186,1592046
SIVAGANGA,939641,1173988,1219450,1342978,1473093,1609434,1761188,1959209,2068662
RAMANATHAPURAM,946610,1063647,1446857,1588540,1616144,1820025,2006472,2124415,2351546
TENI,1002066,1153142,1286124,1377086,1547999,1737183,1784343,1977632,2084297
KARUR,1062441,1138361,1344997,1589387,1668347,1786732,2257392,1869067,2085261
PUDUKKOTTAI,1116426,1208515,1326942,1516571,1717054,1744742,2031265,2330645,2416889
DHARMAPURI,1175894,1248844,1473932,1556084,1796590,2033681,2273651,2531879,2972337
NAGAPATTINAM,1316267,1347931,1596047,1646455,1867888,2086518,2028568,2294079,2357719
KANYAKUMARI,1488289,1662978,1911428,2133454,2364257,2438761,2676057,3088450,3292615
TIRUVANNAMALAI,1535806,1872742,2066321,2290050,2482375,2692969,3107283,3422694,3871054
THANJAVUR,1701212,1912907,2260563,2360730,2570002,3023765,3340743,3640742,3743227
CUDDALORE,1718836,1962314,2363532,2624429,2751696,2971376,3334989,3710470,4021453
TUTICORIN,1794346,2465755,2386955,2520414,3231755,3327347,3683380,3553723,3660100
VIRUDHUNAGAR,1795264,2067247,2172944,2392747,2723984,2901077,3238802,3746717,3879639
DINDIGUL,1888427,2149003,2480903,2712695,2922261,2982915,3503957,3860257,4084669
VILLUPURAM,2023871,2372256,2929921,3198685,3367690,3509413,4175179,4412850,4546150
KRISHNAGIRI,2133954,2451879,2547579,3319512,3578870,4036867,4374204,5050627,5191191
NAMAKKAL,2244645,2444639,2927566,3083836,3468800,3889708,4180989,5601672,5837683
ERODE,2530561,3016971,3348077,3652676,3935623,4572135,4643980,5589965,5510733
TIRUNELVELI,2713012,3230383,3564553,4077288,4311893,4522513,5192681,5588064,5985553
MADURAI,2790078,3175982,3740608,4415083,4491778,4973355,5570451,6065652,6753238
TIRUPPUR,2957378,3240222,3771411,4120873,4776622,5429085,5975514,6539589,7912884
TIRUCHIRAPALLI,3365894,3653584,3771731,3989202,4122476,4290634,5173304,5800248,6097890
SALEM,3554194,3616534,4226109,4654585,5334634,6069434,7016468,7057356,7047945
VELLORE,3853494,4375144,4733992,4801649,5595446,5762542,6552718,7026607,7438112
COIMBATORE,4427678,5346874,6054858,6687560,7306615,8237169,9625039,10807763,11075081
TIRUVALLUR,5157229,6278360,6250507,7230608,7785047,9334968,11248177,12415865,12419998
KANCHIPURAM,6612459,7421651,9063023,10431364,11447155,13587303,14492992,17555403,19850956
CHENNAI,9011955,10016098,11577504,12678389,13989504,15258780,17085438,18877245,21135324
