Sl. No(1),District(2),Agriculture(3),Livestock(4),Forest & Logging(5),Fishing(6),Agriculture & Allied Activities (3+4+5+6)(7),Mining & Quarrying(8),Primary (7+8)(9),Manufacturing(10),"Electricity, Gas,
Water Supply &
Other utility
services(11)",Construction(12),Secondary (10+11+12)(13),Industry (8+13)(14),"Trade, Repair
services, Hotels &
Restaurants(15)",Railways(16),Transport by Other Means(17),Storage(18),"Communication &
Services related
to Broadcasting(19)",Financial Services(20),"Real Estate,
Ownership of
Dwelling and
Business Services(21)","Public
Administration(22)",Other Services(23),Services (Sum: 15-23)(24),"Gross District
Value Added(25)","Gross District
Domestic Product(26)","Per capita Income
(in Rupees)(27)"
1,CHENNAI,0,127383,3394,108286,239063,58,239121,3471709,205661,1476773,5154144,5154201,2081213,124629,1065499,4502,636071,5425725,8417683,2132993,1373823,21262137,26655402,28948119,585501
2,CHENGALPATTU,135196,77274,9553,118182,340205,1085,341290,6832428,359428,1433288,8625144,8626229,1234901,60655,408246,1156,289272,508772,5930757,108506,1199382,9741647,18708081,20317223,746994
3,TIRUVALLUR,269354,154610,16365,133340,573670,571,574241,4348765,572838,1772668,6694271,6694842,1367562,131982,453611,15253,362803,501234,4399202,106392,1134160,8472196,15740708,17094618,430950
4,COIMBATORE,509587,807826,32769,1420,1351602,1321,1352923,3525785,264854,1459177,5249816,5251137,1597838,29669,494014,30793,348045,1046857,2432487,91350,1326429,7397483,14000222,15204427,413233
5,TIRUPPUR,397646,1314812,20719,1530,1734707,1467,1736174,5098299,174875,1121267,6394442,6395909,686840,515,175590,9997,60688,299933,760981,31706,559108,2585357,10715972,11637688,441201
6,SALEM,818467,596624,44418,26052,1485561,7930,1493491,1311048,313573,1276880,2901501,2909431,1236269,13604,357483,6769,137020,334181,1037161,174207,978204,4274898,8669889,9415614,254137
7,KANCHIPURAM,57919,63958,4445,14207,140529,1906,142435,3075556,161687,643941,3881184,3883091,554811,27251,183415,647,129963,341527,2664543,48749,538855,4489760,8513380,9245643,744980
8,MADURAI,346012,160788,21008,3465,531273,933,532206,1027246,142249,1165508,2335003,2335936,1609033,35766,290952,3632,218725,384971,971638,379256,1305502,5199476,8066685,8760527,270995
9,NAMAKKAL,489753,3331543,18960,15299,3855554,643,3856197,856473,77330,645061,1578865,1579508,547179,772,323332,7202,40197,162855,532678,21826,615995,2252036,7687098,8348291,454423
10,TIRUCHIRAPALLI,403165,318915,19518,1922,743520,13663,757183,698841,96186,930150,1725177,1738840,1081065,100789,251288,2535,125772,384062,1384159,250018,919514,4499201,6981561,7582068,261763
11,KRISHNAGIRI,975705,544408,58678,47549,1626340,3339,1629679,2492014,51631,705909,3249553,3252893,750297,1277,125861,866,40184,134582,476418,59261,421702,2010449,6889681,7482285,374090
12,ERODE,681211,453189,64054,3692,1202146,776,1202922,1444185,112608,815200,2371993,2372769,777729,49967,189116,11942,87632,274567,665605,203654,700441,2960652,6535567,7097713,296247
13,DINDIGUL,819025,423437,45112,2752,1290326,8989,1299315,877757,55153,717774,1650684,1659673,701909,4974,184114,750,59595,137505,589199,124704,670767,2473518,5423517,5890012,256308
14,CUDDALORE,524481,224149,13418,165793,927841,1852,929693,813660,30119,819234,1663012,1664864,552476,4356,195693,1151,61690,170981,553613,166568,701825,2408355,5001060,5431217,195881
15,THANJAVUR,490088,167099,12156,256979,926322,120833,1047155,221863,57378,722988,1002229,1123062,813213,11040,180584,2280,77425,219789,593947,183258,699794,2781329,4830713,5246219,204940
16,TIRUVANNAMALAI,654143,317949,51766,8577,1032435,2127,1034562,628715,130974,787615,1547304,1549430,636980,2369,147463,2736,50969,102247,685734,58633,544932,2232063,4813929,5227990,199340
